Invoice no,Customer id,Product id list,Invoice date,Shopping mall
INV01116,C01228,"P00383,P00480,P00270,P00216",14/08/2024,CYB
INV01117,C00507,"P00383,P00480,P00270,P00216",05/01/2025,MK
INV01118,C00998,"P00108,P00021,P00314,P00031",17/10/2024,ST
INV01119,C00924,"P00383,P00480,P00270,P00216,P00304,P00021",26/09/2025,CYB
INV01120,C01216,P00001,11/02/2025,MK
INV01121,C00309,"P00242,P00364,P00026,P00489,P00452",02/11/2024,CYB
INV01122,C00138,"P00383,P00480,P00270,P00216,P00098",29/01/2025,MK
INV01123,C01445,"P00310,P00486,P00328,P00331,P00305",28/03/2025,MK
INV01124,C00722,"P00334,P00182",23/05/2024,MK
INV01125,C01180,P00387,12/07/2025,MK
INV01126,C00012,"P00465,P00474,P00080,P00008",20/12/2024,ST
INV01127,C01058,"P00383,P00480,P00270,P00216",27/06/2025,MK
INV01128,C00909,"P00166,P00363,P00122",22/01/2024,MK
INV01129,C01414,"P00036,P00474",07/08/2024,CYB
INV01130,C00598,"P00383,P00480,P00270,P00216,P00086,P00473",08/02/2024,MK
INV01131,C01106,"P00121,P00154,P00311,P00396,P00534",22/04/2025,CYB
INV01132,C01492,"P00383,P00480,P00270,P00216",21/03/2024,CYB
INV01133,C00702,"P00387,P00140,P00263,P00277",31/07/2025,MK
INV01134,C00383,P00535,08/01/2024,ST
INV01135,C00688,"P00082,P00185,P00136,P00173",31/03/2024,ST
INV01136,C00902,"P00072,P00387,P00400,P00204",07/12/2024,MK
INV01137,C00303,"P00218,P00260,P00503,P00202",29/10/2025,ST
INV01138,C01299,P00469,07/01/2024,CYB
INV01139,C01355,"P00484,P00124",21/06/2024,TKO
INV01140,C01447,"P00138,P00142,P00023,P00054",26/01/2024,ST
INV01141,C00685,"P00030,P00465,P00128,P00158",10/11/2025,CYB
INV01142,C00907,"P00383,P00480,P00270,P00216,P00294,P00324",27/05/2024,ST
INV01143,C00900,"P00383,P00480,P00270,P00216",07/04/2024,CYB
INV01144,C00013,"P00383,P00480,P00270,P00216",25/07/2025,MK
INV01145,C01024,"P00295,P00327,P00520,P00012",08/04/2025,CYB
INV01146,C01083,P00496,14/01/2025,TKO
INV01147,C00010,"P00383,P00480,P00270,P00216,P00405,P00386",02/02/2024,ST
INV01148,C00497,P00289,22/08/2024,MK
INV01149,C01406,"P00387,P00335",13/10/2024,CYB
INV01150,C00186,"P00415,P00168,P00403",14/07/2025,MK
INV01151,C00741,"P00107,P00537,P00449",28/06/2024,MK
INV01152,C01282,"P00429,P00380,P00103",07/04/2024,CYB
INV01153,C00088,P00515,22/11/2025,ST
INV01154,C01112,"P00383,P00480,P00270,P00216",11/10/2025,CYB
INV01155,C00251,"P00488,P00437,P00424,P00541,P00041",28/07/2025,MK
INV01156,C00527,"P00055,P00058,P00036,P00537",11/02/2024,MK
INV01157,C01288,"P00019,P00087,P00451,P00330,P00326",09/03/2025,ST
INV01158,C00997,"P00280,P00044,P00058,P00252,P00148",30/01/2024,MK
INV01159,C00671,P00323,01/01/2024,CYB
INV01160,C00002,"P00176,P00087,P00464,P00381,P00062",18/08/2024,CYB
INV01161,C00077,"P00051,P00138,P00230,P00458",10/07/2025,CYB
INV01162,C00409,P00057,06/01/2024,TKO
INV01163,C01137,"P00206,P00191,P00274,P00050",04/08/2024,CYB
INV01164,C00743,P00386,19/02/2025,ST
INV01165,C00928,P00255,15/04/2024,ST
INV01166,C00954,"P00424,P00490,P00238",07/08/2025,MK
INV01167,C01478,"P00383,P00480,P00270,P00216",23/08/2025,MK
INV01168,C00478,"P00383,P00480,P00270,P00216,P00498",04/01/2025,CYB
INV01169,C01364,"P00446,P00329,P00282,P00457",27/09/2024,TKO
INV01170,C01430,"P00085,P00430,P00292,P00356",28/10/2025,ST
INV01171,C01459,"P00254,P00302",24/12/2024,TKO
INV01172,C00196,"P00187,P00384",19/07/2025,CYB
INV01173,C01067,"P00361,P00545",14/06/2025,MK
INV01174,C00779,"P00294,P00440,P00379",16/08/2024,CYB
INV01175,C00409,P00541,20/12/2025,MK
INV01176,C00024,"P00191,P00329,P00421,P00041",21/06/2024,CYB
INV01177,C01252,"P00027,P00540,P00408,P00405,P00323",05/03/2024,MK
INV01178,C00233,"P00171,P00541,P00015",15/07/2024,MK
INV01179,C01244,"P00486,P00129,P00413,P00365",07/08/2024,MK
INV01180,C00361,"P00026,P00377,P00008,P00395",06/06/2024,TKO
INV01181,C01374,"P00243,P00288,P00181,P00146,P00364",26/09/2025,MK
INV01182,C00791,"P00383,P00480,P00270,P00216,P00323,P00034",22/11/2024,MK
INV01183,C00415,"P00356,P00425,P00417",22/12/2025,MK
INV01184,C00675,P00107,12/10/2024,ST
INV01185,C00258,"P00038,P00362,P00294,P00475",13/06/2024,CYB
INV01186,C00096,"P00407,P00289,P00363",15/11/2025,ST
INV01187,C01502,"P00238,P00211",08/09/2025,TKO
INV01188,C00631,P00400,29/01/2025,CYB
INV01189,C00391,"P00261,P00106,P00175,P00121,P00458",09/10/2024,MK
INV01190,C01105,"P00260,P00346",13/08/2025,ST
INV01191,C00150,"P00383,P00480,P00270,P00216,P00398,P00427",09/11/2024,CYB
INV01192,C01496,P00304,03/08/2024,ST
INV01193,C00760,"P00383,P00480,P00270,P00216,P00065",13/10/2025,MK
INV01194,C00231,"P00383,P00480,P00270,P00216,P00333,P00186",24/09/2025,CYB
INV01195,C00183,"P00180,P00212,P00166,P00057",12/05/2025,MK
INV01196,C00337,"P00237,P00069,P00539,P00368",22/02/2024,MK
INV01197,C01400,"P00298,P00487,P00283,P00159,P00338",15/06/2025,MK
INV01198,C01492,"P00082,P00417",05/09/2024,ST
INV01199,C01121,"P00018,P00163",21/08/2024,CYB
INV01200,C00464,"P00365,P00477,P00088",29/07/2024,MK
INV01201,C00819,P00094,13/12/2024,ST
INV01202,C00545,"P00471,P00411",19/12/2025,ST
INV01203,C00732,"P00497,P00373",08/10/2025,ST
INV01204,C01324,P00115,16/11/2025,MK
INV01205,C00714,"P00383,P00480,P00270,P00216,P00525",27/02/2025,MK
INV01206,C00358,"P00383,P00480,P00270,P00216",31/01/2024,TKO
INV01207,C00346,"P00103,P00188,P00030,P00372,P00063",25/12/2025,MK
INV01208,C00617,"P00116,P00420,P00014,P00507",04/04/2025,ST
INV01209,C00203,"P00498,P00306,P00526,P00236,P00299",31/12/2024,CYB
INV01210,C01424,"P00402,P00335,P00107",23/12/2024,ST
INV01211,C00619,"P00383,P00480,P00270,P00216,P00289",14/07/2024,MK
INV01212,C01465,"P00188,P00368,P00082",31/12/2025,ST
INV01213,C00190,"P00087,P00446,P00541",25/01/2024,MK
INV01214,C00442,"P00401,P00250",23/02/2024,CYB
INV01215,C00930,"P00059,P00084,P00057,P00125,P00442",20/10/2024,ST
INV01216,C01051,"P00059,P00282,P00016",16/02/2024,CYB
INV01217,C01195,P00137,15/07/2025,TKO
INV01218,C01267,"P00383,P00480,P00270,P00216,P00135",08/02/2024,TKO
INV01219,C00199,"P00318,P00378,P00300",18/03/2024,CYB
INV01220,C00441,"P00139,P00217,P00315,P00266",27/07/2024,ST
INV01221,C00839,"P00100,P00481,P00402",22/06/2025,MK
INV01222,C00034,"P00060,P00537,P00042,P00509,P00444",13/10/2025,CYB
INV01223,C00932,"P00383,P00480,P00270,P00216,P00010,P00418",09/05/2025,CYB
INV01224,C00658,"P00532,P00265,P00263,P00541",08/11/2024,CYB
INV01225,C00036,P00057,17/04/2024,CYB
INV01226,C00847,"P00512,P00437,P00010,P00479,P00243",17/09/2025,MK
INV01227,C00757,"P00241,P00393,P00302,P00127,P00147",12/05/2024,CYB
INV01228,C00802,"P00054,P00237",09/04/2025,ST
INV01229,C01016,"P00033,P00544,P00035",08/03/2025,MK
INV01230,C01341,"P00507,P00506,P00440",06/10/2024,CYB
INV01231,C00135,"P00404,P00317,P00494",30/01/2024,MK
INV01232,C00876,"P00313,P00365,P00517",27/01/2024,CYB
INV01233,C00528,P00060,22/12/2025,MK
INV01234,C00927,P00322,19/11/2024,CYB
INV01235,C00464,"P00506,P00245,P00202,P00054",07/12/2025,ST
INV01236,C00692,"P00523,P00413,P00069",13/07/2024,CYB
INV01237,C00406,"P00358,P00329,P00267,P00080",10/07/2024,ST
INV01238,C00672,"P00215,P00113,P00176",21/06/2025,MK
INV01239,C01224,P00383,11/08/2025,MK
INV01240,C00376,"P00116,P00404",23/01/2025,MK
INV01241,C01257,"P00323,P00284,P00495,P00511",19/08/2025,ST
INV01242,C00245,"P00303,P00483",09/06/2025,CYB
INV01243,C00604,"P00383,P00480,P00270,P00216",19/05/2025,CYB
INV01244,C00188,"P00478,P00245,P00112,P00367,P00120",18/10/2025,CYB
INV01245,C00901,"P00503,P00244,P00166",18/03/2024,ST
INV01246,C01222,"P00511,P00516,P00394,P00377,P00145",25/11/2024,TKO
INV01247,C00771,"P00383,P00480,P00270,P00216",24/03/2024,TKO
INV01248,C01045,"P00195,P00055,P00292",25/12/2025,CYB
INV01249,C01358,P00030,13/07/2025,CYB
INV01250,C00747,"P00383,P00480,P00270,P00216,P00191",27/09/2024,CYB
INV01251,C00326,"P00383,P00480,P00270,P00216,P00542",14/12/2024,CYB
INV01252,C00793,"P00448,P00123",05/06/2024,ST
INV01253,C01059,"P00383,P00480,P00270,P00216,P00546,P00351",23/11/2025,ST
INV01254,C00405,P00406,29/07/2024,ST
INV01255,C01026,"P00435,P00384,P00004,P00371",27/10/2024,MK
INV01256,C00360,"P00383,P00480,P00270,P00216",05/08/2024,ST
INV01257,C01220,"P00380,P00402,P00108",04/10/2025,CYB
INV01258,C00821,"P00148,P00301,P00526,P00459,P00163",18/05/2024,TKO
INV01259,C00861,"P00383,P00480,P00270,P00216,P00154,P00217",17/06/2024,CYB
INV01260,C00761,"P00383,P00480,P00270,P00216,P00365,P00152",12/04/2025,CYB
INV01261,C01299,"P00383,P00480,P00270,P00216,P00326,P00246",26/04/2025,ST
INV01262,C00514,P00337,06/05/2025,MK
INV01263,C00994,"P00315,P00165,P00197,P00429",20/07/2025,MK
INV01264,C00993,"P00347,P00281,P00229,P00063,P00332",30/05/2024,CYB
INV01265,C01236,"P00180,P00152,P00389",18/06/2024,MK
INV01266,C00545,"P00020,P00285,P00029,P00384,P00387",13/10/2024,CYB
INV01267,C00913,"P00212,P00155,P00290",15/11/2025,TKO
INV01268,C00430,"P00463,P00435",26/09/2025,CYB
INV01269,C00289,"P00502,P00085",26/11/2024,MK
INV01270,C00530,P00369,30/09/2024,TKO
INV01271,C00265,"P00272,P00147,P00497,P00224",12/07/2025,ST
INV01272,C00982,P00112,01/09/2025,MK
INV01273,C00289,"P00186,P00422,P00246,P00440,P00123",11/07/2024,ST
INV01274,C00663,"P00048,P00330,P00317,P00406",24/12/2025,TKO
INV01275,C00377,P00342,07/05/2025,MK
INV01276,C01461,"P00275,P00117,P00269",22/04/2025,MK
INV01277,C00328,"P00383,P00480,P00270,P00216,P00144,P00172",30/09/2025,TKO
INV01278,C01046,"P00383,P00480,P00270,P00216,P00409,P00271",26/08/2025,MK
INV01279,C00404,"P00161,P00250,P00180",10/06/2024,MK
INV01280,C00287,"P00083,P00070",08/11/2025,ST
INV01281,C00770,"P00538,P00098,P00367,P00017",27/04/2024,ST
INV01282,C00571,P00452,22/02/2024,TKO
INV01283,C00519,"P00455,P00235,P00314,P00016,P00100",04/04/2024,TKO
INV01284,C01224,"P00187,P00236",11/12/2025,CYB
INV01285,C00180,"P00274,P00109,P00466,P00300",19/09/2024,MK
INV01286,C00222,"P00318,P00242",21/10/2024,TKO
INV01287,C01351,"P00233,P00083,P00470,P00532,P00160",01/12/2025,MK
INV01288,C00591,"P00509,P00137,P00375,P00104",04/12/2025,TKO
INV01289,C00224,P00285,28/02/2024,TKO
INV01290,C01259,"P00383,P00480,P00270,P00216,P00156,P00487",16/01/2024,CYB
INV01291,C00203,"P00485,P00475",01/06/2024,CYB
INV01292,C00549,P00373,30/10/2024,CYB
INV01293,C00005,"P00383,P00480,P00270,P00216,P00265,P00251",04/06/2025,TKO
INV01294,C01390,P00062,29/05/2024,MK
INV01295,C00208,"P00383,P00480,P00270,P00216",14/01/2025,ST
INV01296,C00085,P00168,03/08/2024,MK
INV01297,C00951,"P00084,P00376",11/04/2024,MK
INV01298,C01203,"P00069,P00493",15/06/2025,TKO
INV01299,C01065,P00351,15/05/2025,TKO
INV01300,C00054,"P00383,P00480,P00270,P00216",19/10/2024,TKO
INV01301,C00075,"P00383,P00480,P00270,P00216,P00150",19/07/2024,MK
INV01302,C01123,"P00383,P00480,P00270,P00216,P00023",30/08/2024,CYB
INV01303,C00777,"P00383,P00480,P00270,P00216",15/02/2024,MK
INV01304,C00911,P00021,15/01/2025,MK
INV01305,C00964,"P00273,P00400,P00337,P00189,P00196",05/10/2024,CYB
INV01306,C00033,"P00005,P00028,P00202",23/05/2025,CYB
INV01307,C00019,"P00383,P00480,P00270,P00216,P00062",09/05/2024,TKO
INV01308,C00529,"P00383,P00480,P00270,P00216",30/11/2025,CYB
INV01309,C01294,"P00333,P00064,P00181,P00120,P00126",12/11/2025,CYB
INV01310,C00753,"P00383,P00480,P00270,P00216,P00024,P00136",27/06/2025,TKO
INV01311,C01116,"P00401,P00530,P00137,P00387,P00258",03/12/2024,ST
INV01312,C00290,"P00383,P00480,P00270,P00216,P00145",26/02/2025,MK
INV01313,C00026,"P00338,P00025",05/04/2024,CYB
INV01314,C01203,"P00271,P00103,P00035,P00423,P00019",30/01/2025,TKO
INV01315,C00649,"P00055,P00541,P00152,P00471,P00019",06/04/2024,CYB
INV01316,C00732,"P00044,P00011",24/05/2025,CYB
INV01317,C00138,"P00264,P00265,P00131,P00118",24/04/2025,TKO
INV01318,C00501,"P00383,P00480,P00270,P00216,P00228",11/05/2025,CYB
INV01319,C00771,P00240,22/06/2025,MK
INV01320,C01393,"P00383,P00480,P00270,P00216",15/11/2024,TKO
INV01321,C00221,"P00313,P00019",10/11/2024,MK
INV01322,C01476,"P00135,P00133,P00519,P00224",30/10/2025,TKO
INV01323,C00792,"P00476,P00074,P00217",18/07/2025,MK
INV01324,C00495,"P00338,P00280,P00381,P00105,P00016",17/12/2025,ST
INV01325,C01195,"P00198,P00283,P00388,P00450",10/03/2025,MK
INV01326,C00213,"P00333,P00174,P00448,P00256",09/01/2024,TKO
INV01327,C00908,"P00383,P00480,P00270,P00216,P00420",01/05/2025,CYB
INV01328,C00216,P00285,12/10/2024,TKO
INV01329,C00303,"P00300,P00392",28/02/2024,MK
INV01330,C00314,"P00383,P00480,P00270,P00216",18/10/2024,CYB
INV01331,C01000,"P00264,P00515",24/07/2025,MK
INV01332,C01007,"P00132,P00410,P00014,P00067",16/11/2025,CYB
INV01333,C01394,"P00074,P00308,P00285,P00426,P00453",27/09/2024,CYB
INV01334,C01103,"P00197,P00251,P00416,P00213,P00196",04/10/2025,MK
INV01335,C00226,"P00168,P00428",07/05/2024,CYB
INV01336,C00329,"P00383,P00480,P00270,P00216",11/02/2024,MK
INV01337,C00470,"P00104,P00477",07/10/2025,MK
INV01338,C01301,"P00383,P00480,P00270,P00216,P00035,P00165",20/09/2024,CYB
INV01339,C00954,"P00003,P00336,P00102,P00150,P00091",05/08/2025,ST
INV01340,C00968,"P00383,P00480,P00270,P00216,P00193",02/12/2025,CYB
INV01341,C01013,"P00383,P00480,P00270,P00216",03/08/2024,ST
INV01342,C00939,"P00100,P00341,P00017,P00091,P00085",02/01/2024,CYB
INV01343,C01383,"P00143,P00170",17/03/2025,CYB
INV01344,C00054,"P00224,P00372",25/06/2024,TKO
INV01345,C01115,"P00462,P00155",15/10/2024,ST
INV01346,C00601,"P00341,P00463,P00522,P00361",13/07/2025,MK
INV01347,C00511,"P00323,P00549",31/10/2024,CYB
INV01348,C01156,"P00526,P00310,P00023",30/11/2024,ST
INV01349,C00289,"P00191,P00143,P00524,P00240,P00479",20/06/2025,MK
INV01350,C01060,"P00353,P00490,P00226,P00109",26/12/2025,CYB
INV01351,C01071,"P00332,P00133,P00127,P00298",08/08/2025,MK
INV01352,C00885,"P00383,P00480,P00270,P00216,P00023",30/06/2025,MK
INV01353,C01476,"P00055,P00541,P00375,P00456",05/06/2025,MK
INV01354,C00768,"P00263,P00237,P00264",24/11/2025,ST
INV01355,C00193,"P00218,P00247,P00298,P00512",27/05/2024,MK
INV01356,C00195,P00365,09/05/2025,MK
INV01357,C01276,"P00406,P00126,P00451",23/06/2024,CYB
INV01358,C01377,"P00073,P00235,P00199",01/03/2025,CYB
INV01359,C01153,P00227,06/04/2024,CYB
INV01360,C00089,"P00503,P00003,P00535,P00322,P00508",13/11/2024,CYB
INV01361,C00354,"P00383,P00480,P00270,P00216,P00311",21/05/2025,TKO
INV01362,C01476,"P00520,P00175",27/08/2025,MK
INV01363,C01417,"P00388,P00510,P00039,P00410",25/05/2025,MK
INV01364,C00584,"P00084,P00521,P00461",01/07/2025,CYB
INV01365,C01321,"P00383,P00480,P00270,P00216",23/06/2024,ST
INV01366,C01474,"P00012,P00323,P00123,P00131,P00362",02/05/2024,CYB
INV01367,C00682,"P00383,P00480,P00270,P00216,P00109",13/01/2024,CYB
INV01368,C01340,"P00397,P00450,P00381,P00502",15/03/2025,MK
INV01369,C00843,"P00504,P00402,P00301,P00074",20/11/2025,MK
INV01370,C00609,"P00490,P00018,P00225,P00366",25/07/2025,ST
INV01371,C01425,"P00385,P00124,P00299,P00336",03/01/2024,MK
INV01372,C01338,P00176,19/01/2024,TKO
INV01373,C00418,"P00383,P00480,P00270,P00216,P00062",19/04/2024,MK
INV01374,C00310,"P00306,P00083",20/09/2025,MK
INV01375,C01109,"P00411,P00070,P00065",28/03/2024,CYB
INV01376,C00980,"P00490,P00335,P00120,P00135,P00086",16/01/2024,MK
INV01377,C00539,"P00406,P00239,P00172",17/01/2025,CYB
INV01378,C00571,P00166,20/11/2024,TKO
INV01379,C01362,"P00460,P00237,P00050",17/09/2024,MK
INV01380,C00684,"P00007,P00052",07/11/2024,TKO
INV01381,C00491,P00242,22/01/2024,TKO
INV01382,C01475,"P00383,P00480,P00270,P00216,P00433,P00018",21/06/2025,CYB
INV01383,C01433,"P00065,P00366,P00314,P00181",06/02/2024,CYB
INV01384,C01510,"P00498,P00346,P00151",20/08/2024,CYB
INV01385,C01330,P00115,31/08/2024,TKO
INV01386,C00161,"P00383,P00480,P00270,P00216,P00519,P00286",03/09/2024,MK
INV01387,C00802,"P00383,P00480,P00270,P00216",03/03/2024,TKO
INV01388,C00556,"P00383,P00480,P00270,P00216,P00092",10/12/2025,MK
INV01389,C00898,P00406,26/08/2025,CYB
INV01390,C00573,"P00383,P00480,P00270,P00216,P00261,P00237",30/09/2024,CYB
INV01391,C00868,"P00383,P00480,P00270,P00216,P00118,P00538",08/11/2024,MK
INV01392,C00610,"P00076,P00344,P00310,P00090,P00370",13/03/2025,CYB
INV01393,C00830,P00496,03/07/2025,CYB
INV01394,C01458,"P00432,P00252,P00291,P00229,P00527",19/03/2024,TKO
INV01395,C00753,P00370,09/02/2025,CYB
INV01396,C01159,"P00082,P00349,P00513",01/01/2024,CYB
INV01397,C00794,P00148,11/05/2025,ST
INV01398,C01504,"P00159,P00208,P00177,P00039,P00130",23/07/2024,MK
INV01399,C01021,"P00383,P00480,P00270,P00216",15/10/2025,ST
INV01400,C00859,P00438,01/02/2024,CYB
INV01401,C01323,"P00383,P00480,P00270,P00216",30/09/2025,MK
INV01402,C00263,"P00164,P00279,P00097",27/05/2024,ST
INV01403,C00923,"P00440,P00198,P00225,P00101,P00385",21/03/2025,ST
INV01404,C00626,"P00383,P00480,P00270,P00216,P00482",26/02/2025,CYB
INV01405,C01484,"P00383,P00480,P00270,P00216",22/07/2024,MK
INV01406,C01163,"P00383,P00480,P00270,P00216",24/03/2024,MK
INV01407,C01090,"P00383,P00480,P00270,P00216,P00360,P00004",31/12/2025,MK
INV01408,C00725,"P00091,P00520,P00183,P00110",19/12/2024,MK
INV01409,C01488,"P00084,P00489",26/10/2025,MK
INV01410,C00228,"P00147,P00152,P00254",25/09/2025,MK
INV01411,C01102,"P00283,P00279,P00299",02/09/2024,CYB
INV01412,C00709,P00037,07/06/2025,ST
INV01413,C01015,"P00015,P00523,P00004",14/10/2024,MK
INV01414,C01511,P00126,16/10/2025,ST
INV01415,C01288,"P00395,P00075,P00363,P00162",28/08/2025,ST
INV01416,C01012,P00131,03/02/2024,MK
INV01417,C00874,"P00383,P00480,P00270,P00216,P00288,P00157",10/07/2024,ST
INV01418,C01355,"P00383,P00480,P00270,P00216,P00470,P00294",21/10/2025,TKO
INV01419,C00848,"P00383,P00480,P00270,P00216,P00343,P00443",24/07/2025,MK
INV01420,C00061,"P00436,P00257,P00418,P00477",13/09/2025,TKO
INV01421,C00029,"P00192,P00366",18/11/2024,MK
INV01422,C00910,"P00462,P00092,P00522",27/11/2025,ST
INV01423,C00459,"P00270,P00501,P00359,P00184,P00072",22/10/2025,ST
INV01424,C00384,P00035,24/08/2025,CYB
INV01425,C00891,"P00331,P00213",09/07/2024,MK
INV01426,C00978,"P00072,P00169,P00140,P00010",10/10/2025,TKO
INV01427,C01154,"P00225,P00479,P00014",17/03/2025,MK
INV01428,C01271,"P00535,P00448,P00014,P00260,P00273",06/01/2025,CYB
INV01429,C00718,"P00383,P00480,P00270,P00216,P00049,P00187",11/04/2024,TKO
INV01430,C00643,P00139,20/08/2024,TKO
INV01431,C01166,P00423,14/03/2024,MK
INV01432,C01465,"P00383,P00480,P00270,P00216,P00493,P00494",13/02/2024,CYB
INV01433,C00469,P00543,14/07/2024,MK
INV01434,C00782,"P00268,P00340,P00474,P00072",29/05/2024,ST
INV01435,C00593,"P00251,P00011",17/07/2024,MK
INV01436,C01252,"P00383,P00480,P00270,P00216",02/07/2025,CYB
INV01437,C00678,"P00359,P00338,P00390,P00270",30/04/2024,ST
INV01438,C01485,"P00383,P00480,P00270,P00216",16/09/2025,MK
INV01439,C01154,"P00220,P00372,P00022,P00021",03/07/2025,MK
INV01440,C00769,"P00383,P00480,P00270,P00216,P00060,P00460",28/08/2025,MK
INV01441,C01092,"P00383,P00480,P00270,P00216,P00482,P00447",25/09/2024,MK
INV01442,C01350,"P00259,P00272,P00116,P00025",17/06/2025,MK
INV01443,C01181,"P00052,P00279,P00046,P00255",30/01/2024,CYB
INV01444,C00672,"P00538,P00267,P00366",10/05/2025,ST
INV01445,C01489,"P00391,P00356,P00040,P00284",22/02/2025,TKO
INV01446,C00849,"P00478,P00440,P00411,P00114",02/09/2025,MK
INV01447,C01484,"P00383,P00480,P00270,P00216",28/12/2025,ST
INV01448,C00162,"P00383,P00480,P00270,P00216,P00186",15/11/2024,ST
INV01449,C00565,"P00058,P00430",30/01/2024,CYB
INV01450,C00740,"P00383,P00480,P00270,P00216",20/03/2024,CYB
INV01451,C00749,"P00314,P00262,P00415,P00436,P00218",26/05/2025,ST
INV01452,C01009,"P00440,P00371,P00230,P00265,P00208",11/09/2025,MK
INV01453,C01367,"P00114,P00085,P00262",28/08/2025,CYB
INV01454,C00992,"P00188,P00350,P00183,P00409,P00421",20/11/2024,CYB
INV01455,C00061,"P00352,P00521,P00455",21/04/2025,MK
INV01456,C01050,P00006,26/08/2025,ST
INV01457,C00084,"P00383,P00480,P00270,P00216,P00381,P00478",07/06/2025,MK
INV01458,C01403,"P00500,P00406,P00240,P00106",27/07/2025,CYB
INV01459,C00506,"P00089,P00193,P00509,P00188",13/07/2024,TKO
INV01460,C01190,"P00471,P00327",27/11/2025,ST
INV01461,C00215,"P00094,P00163,P00358,P00517",28/01/2025,CYB
INV01462,C00984,"P00280,P00067,P00452,P00183,P00189",03/08/2024,ST
INV01463,C00434,"P00325,P00022,P00259",13/02/2024,MK
INV01464,C00281,"P00139,P00178",27/12/2025,CYB
INV01465,C00628,"P00241,P00396,P00317",26/03/2024,CYB
INV01466,C01336,"P00224,P00321,P00366,P00479,P00231",23/12/2024,ST
INV01467,C00412,"P00458,P00265,P00285,P00513",14/08/2024,MK
INV01468,C01336,"P00026,P00312,P00219,P00169,P00163",08/03/2025,CYB
INV01469,C00736,P00372,25/10/2024,MK
INV01470,C01500,"P00172,P00140",02/10/2024,MK
INV01471,C01332,"P00328,P00020,P00466,P00064",09/08/2024,CYB
INV01472,C00124,"P00252,P00203,P00216,P00044,P00289",20/04/2025,ST
INV01473,C00744,"P00403,P00117,P00505",10/01/2024,CYB
INV01474,C00545,"P00484,P00522,P00514,P00471,P00440",24/09/2025,ST
INV01475,C01053,"P00222,P00362,P00368,P00143,P00269",28/02/2024,TKO
INV01476,C00059,"P00499,P00280,P00379,P00099",27/02/2024,MK
INV01477,C00290,"P00298,P00064,P00319,P00214",07/09/2025,MK
INV01478,C00174,"P00132,P00342",29/06/2024,MK
INV01479,C00962,"P00217,P00069",06/12/2025,ST
INV01480,C00541,"P00454,P00292",05/05/2025,TKO
INV01481,C01352,"P00368,P00477",12/05/2024,CYB
INV01482,C01239,P00208,28/10/2024,MK
INV01483,C00996,"P00047,P00418,P00024,P00489",14/08/2024,CYB
INV01484,C01075,"P00383,P00480,P00270,P00216,P00265",08/02/2025,CYB
INV01485,C00934,"P00080,P00106",19/04/2024,CYB
INV01486,C01169,"P00531,P00484,P00019,P00108",18/05/2025,MK
INV01487,C01049,"P00038,P00061,P00150",29/03/2024,CYB
INV01488,C00252,"P00241,P00343,P00451",16/11/2025,CYB
INV01489,C00339,"P00535,P00198",14/12/2024,MK
INV01490,C00003,P00485,02/09/2024,MK
INV01491,C00615,"P00383,P00480,P00270,P00216",11/08/2024,MK
INV01492,C00547,"P00472,P00152,P00158,P00537",21/03/2024,ST
INV01493,C00769,"P00327,P00165,P00487,P00324,P00150",20/05/2025,MK
INV01494,C00717,"P00067,P00321,P00371",05/04/2024,MK
INV01495,C00451,"P00310,P00119",19/01/2024,TKO
INV01496,C00292,"P00425,P00482",06/09/2024,ST
INV01497,C00117,"P00383,P00480,P00270,P00216,P00411,P00031",05/03/2024,MK
INV01498,C00241,"P00004,P00256,P00230",24/01/2024,MK
INV01499,C01244,"P00187,P00436,P00008,P00148,P00277",14/04/2025,CYB
INV01500,C00354,P00437,28/04/2025,CYB
INV01501,C00277,"P00276,P00348,P00532,P00171,P00505",29/11/2024,CYB
INV01502,C00376,"P00013,P00487",01/09/2024,ST
INV01503,C00440,"P00093,P00435,P00010,P00134",26/02/2024,MK
INV01504,C00307,"P00279,P00458,P00023,P00173",24/06/2025,CYB
INV01505,C00331,"P00259,P00446,P00062",16/11/2024,CYB
INV01506,C00830,P00272,08/08/2025,CYB
INV01507,C01377,"P00053,P00322,P00421,P00430,P00287",14/04/2025,TKO
INV01508,C01011,"P00383,P00480,P00270,P00216,P00084",20/12/2025,CYB
INV01509,C01415,"P00383,P00480,P00270,P00216",07/07/2024,TKO
INV01510,C00111,"P00218,P00302",02/03/2024,CYB
INV01511,C00880,P00546,10/03/2025,ST
INV01512,C01231,P00121,14/01/2024,MK
INV01513,C00099,P00297,20/10/2024,MK
INV01514,C01288,"P00471,P00170,P00461",02/11/2025,ST
INV01515,C01001,"P00183,P00358",27/03/2024,TKO
INV01516,C00602,"P00482,P00099,P00147,P00253",03/04/2025,MK
INV01517,C00567,"P00383,P00480,P00270,P00216,P00410",03/08/2024,CYB
INV01518,C00345,P00071,16/01/2024,TKO
INV01519,C01089,"P00149,P00116",10/07/2024,MK
INV01520,C00868,"P00383,P00480,P00270,P00216",26/08/2024,ST
INV01521,C00977,"P00167,P00230,P00030",05/12/2025,MK
INV01522,C00078,"P00227,P00322,P00449,P00406",19/12/2025,MK
INV01523,C00645,"P00165,P00508,P00490,P00022",26/10/2024,MK
INV01524,C00787,"P00130,P00061,P00283,P00115,P00252",11/10/2024,CYB
